open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1775007900000,2095.84,2096.06,2091.23,2092.17,8443.570,1775008199999,17675052.58954,17705,3521.844,7373456.51670,0
1775008200000,2092.17,2096.63,2091.84,2093.84,6522.823,1775008499999,13663210.87456,15825,3688.463,7725651.13040,0
1775008500000,2093.83,2095.67,2091.01,2092.01,6690.983,1775008799999,14002809.61628,14691,3397.101,7109336.83235,0
1775008800000,2092.00,2095.48,2091.84,2094.56,8755.322,1775009099999,18335285.45558,15851,5528.046,11576972.86094,0
1775009100000,2094.57,2095.47,2092.30,2093.93,4883.189,1775009399999,10225909.77331,12650,2607.108,5459683.17427,0
1775009400000,2093.94,2094.90,2087.32,2091.71,11535.817,1775009699999,24113123.26177,23432,4560.711,9534590.42809,0
1775009700000,2091.71,2095.35,2088.97,2093.78,13510.844,1775009999999,28272027.15292,20395,8715.683,18240693.65363,0
1775010000000,2093.78,2094.61,2091.14,2092.45,6398.448,1775010299999,13390668.90261,13663,3964.508,8297044.89951,0
1775010300000,2092.45,2092.46,2081.19,2084.62,37289.045,1775010599999,77731882.26663,46393,14595.592,30425193.47957,0
1775010600000,2084.62,2087.00,2081.44,2083.10,17282.613,1775010899999,36024798.18817,27181,7217.507,15049126.80186,0
1775010900000,2083.11,2090.20,2083.11,2086.97,10528.188,1775011199999,21977202.67169,20136,6263.067,13073607.20397,0
1775011200000,2086.97,2089.39,2086.97,2087.24,4252.549,1775011499999,8879792.13507,9375,2456.982,5130392.26360,0
1775011500000,2087.23,2090.79,2085.22,2087.16,10021.345,1775011799999,20924305.78779,19152,5637.132,11770487.05275,0
1775011800000,2087.15,2089.61,2086.73,2088.73,5646.573,1775012099999,11792167.95608,13025,2746.116,5735611.81269,0
1775012100000,2088.73,2088.95,2086.62,2087.58,4357.940,1775012399999,9097678.64426,9718,2086.870,4356629.51645,0
1775012400000,2087.57,2092.71,2087.57,2091.40,11370.837,1775012699999,23772080.40905,18837,7753.855,16208394.17372,0
1775012700000,2091.41,2106.73,2090.94,2103.67,36038.301,1775012999999,75650165.30877,55041,24545.286,51523922.26966,0
1775013000000,2103.67,2103.85,2100.01,2100.30,17184.157,1775013299999,36112703.94010,26973,7603.986,15980526.07502,0
1775013300000,2100.29,2101.75,2099.27,2099.81,6103.439,1775013599999,12820394.85133,12649,2543.107,5341993.85136,0
1775013600000,2099.81,2099.94,2096.66,2097.26,11322.865,1775013899999,23757633.19506,17275,5465.162,11468035.31020,0
1775013900000,2097.26,2097.79,2095.58,2097.65,5857.615,1775014199999,12281468.50186,10677,2511.434,5265740.10166,0
1775014200000,2097.64,2099.91,2096.18,2096.18,4438.052,1775014499999,9311516.82724,10956,2243.625,4707194.76313,0
1775014500000,2096.17,2096.90,2094.54,2096.65,6987.905,1775014799999,14644459.70392,10378,4677.779,9803102.89990,0
1775014800000,2096.65,2100.78,2096.00,2099.75,5889.686,1775015099999,12361181.06240,10321,3406.035,7147943.27994,0
1775015100000,2099.76,2106.00,2099.76,2102.90,16578.461,1775015399999,34875638.52401,25760,9870.401,20764014.82745,0
1775015400000,2102.90,2103.12,2099.49,2101.66,4247.509,1775015699999,8925860.04278,9995,1529.786,3214819.07996,0
1775015700000,2101.66,2103.02,2100.26,2101.87,6617.309,1775015999999,13906496.91505,11706,3987.902,8380362.21752,0
1775016000000,2101.87,2104.38,2101.02,2101.02,5584.966,1775016299999,11743138.22720,14251,2777.608,5840338.33473,0
1775016300000,2101.02,2102.59,2099.18,2102.00,4534.210,1775016599999,9527363.92018,11849,1995.501,4193219.01688,0
